account,total_revenue,won_opportunities,revenue,employees
Acme Corporation,101744,34,1100.04,2822
Betasoloin,97036,34,251.41,495
Betatech,107408,53,647.18,1185
Bioholding,90991,50,587.34,1356
Bioplex,67393,31,326.82,1016
Blackzim,87715,41,497.11,1588
Bluth Company,56903,28,1242.32,3027
Bubba Gump,89248,36,987.39,2253
Cancity,118627,55,718.62,2448
Cheers,198020,57,4269.9,6472
Codehow,140183,72,2714.9,2641
Condax,206410,105,4.54,9
Conecom,125310,54,1520.66,1806
Dalttechnology,77936,43,98.79,96
Domzoom,99639,53,217.87,551
Doncon,82118,33,587.72,1501
Donquadtech,147976,55,1712.68,3194
Dontechi,128048,70,4618,10083
Donware,56637,30,1197.44,2570
Fasehatice,127009,49,4968.91,7523
Faxquote,113557,48,1825.82,5595
Finhigh,117255,54,1102.43,1759
Finjob,127569,57,2059.9,3644
Funholding,127050,59,2819.5,7227
Ganjaflex,123506,46,5158.71,17479
Gekko & Co,134731,60,2520.83,3502
Genco Pura Olive Oil Company,114352,54,894.33,1635
Globex Corporation,115712,50,1223.72,2497
Gogozoom,85047,51,86.68,187
Golddex,51632,33,52.5,165
Goodsilron,182522,65,2952.73,5107
Green-Plus,99293,41,692.19,1922
Groovestreet,106098,35,223.8,299
Hatfan,117942,43,792.46,1299
Hottechi,194957,111,8170.38,16499
Initech,89792,37,6395.05,20275
Inity,141858,68,2403.58,8801
Isdom,164683,65,3178.24,4540
Iselectrics,72543,25,527.11,1428
J-Texon,102610,50,1388.67,3583
Kan-code,341455,115,11698.03,34288
Kinnamplus,95060,40,702.72,1831
Konex,269245,108,7708.38,13756
Konmatfix,72457,42,375.43,1190
Labdrill,140086,46,2741.37,9226
Lexiqvolax,121418,39,1618.89,3889
Massive Dynamic,90110,38,665.06,1095
Mathtouch,163339,52,3027.46,9516
Nam-zim,63103,32,405.59,1179
Newex,82622,37,1012.72,3492
Ontomedia,110098,34,882.12,2769
Opentech,78669,30,355.23,853
Plexzap,144976,47,2437.85,4874
Plusstrip,89208,33,349.81,315
Plussunin,155195,55,1419.98,4018
Rangreen,151777,75,2938.67,8775
Rantouch,84754,38,1188.42,3015
Ron-tech,125481,70,3922.42,6837
Rundofase,110512,65,1008.06,1238
Scotfind,162725,67,6354.87,16780
Scottech,82360,48,45.39,100
Silis,83816,35,2818.38,6290
Singletechno,163339,72,2214.94,5374
Sonron,103673,46,1699.85,5108
Stanredtax,142711,69,1698.2,3798
Statholdings,67080,34,291.27,586
Streethex,117463,63,1376.8,1165
Sumace,59905,23,167.89,493
Sunnamplex,106754,45,894.37,1593
The New York Inquirer,76636,28,439.21,792
Toughzap,85902,39,332.43,799
Treequote,176751,65,5266.09,8595
Umbrella Corporation,152701,48,2022.14,5113
Vehement Capital Partners,111533,34,646.1,883
Warephase,170046,70,2041.73,5276
Xx-holding,169357,48,7537.24,20293
Xx-zobam,135346,46,3838.39,8274
Y-corporation,131427,54,2871.35,9561
Yearin,75424,36,2261.05,3851
Zathunicon,55616,34,71.12,144
Zencorporation,86690,33,40.79,142
Zoomit,76684,33,324.19,978
Zotware,138339,47,4478.47,13809
Zumgoity,78237,36,441.08,1210
dambase,116394,54,2173.98,2928
