quarter,product,total_revenue,won_opportunities
2017-01-01,GTK 500,25897,1
2017-01-01,GTX Basic,69204,126
2017-01-01,GTX Plus Basic,88512,82
2017-01-01,GTX Plus Pro,278081,51
2017-01-01,GTX Pro,376966,80
2017-01-01,MG Advanced,290207,84
2017-01-01,MG Special,5805,107
2017-04-01,GTK 500,186737,7
2017-04-01,GTX Basic,150817,276
2017-04-01,GTX Plus Basic,195262,181
2017-04-01,GTX Plus Pro,780434,142
2017-04-01,GTX Pro,1078522,223
2017-04-01,MG Advanced,681955,201
2017-04-01,MG Special,12384,224
2017-07-01,GTK 500,104601,4
2017-07-01,GTX Basic,139583,256
2017-07-01,GTX Plus Basic,228054,212
2017-07-01,GTX Plus Pro,775606,143
2017-07-01,GTX Pro,1096599,226
2017-07-01,MG Advanced,625063,186
2017-07-01,MG Special,12749,230
2017-10-01,GTK 500,83377,3
2017-10-01,GTX Basic,139659,257
2017-10-01,GTX Plus Basic,193447,178
2017-10-01,GTX Plus Pro,795530,143
2017-10-01,GTX Pro,958491,200
2017-10-01,MG Advanced,619162,183
2017-10-01,MG Special,12830,232
